condition,id,excluded,block_number,role,subjectTake,response_bool,proposerTake,subject_response,subject_response_bool,prev_subjectTake,prev_response_bool,prev_proposerTake,prev_subject_response,prev_subject_response_bool,prev_prev_subjectTake,prev_prev_response_bool,prev_prev_proposerTake,prev_prev_subject_response,prev_prev_subject_response_bool,deception,deception_scale
replication,0,0,0,r,,,5,2,1,,,,,,,,,,,1,3
replication,0,0,0,p,,0,,,,,,5,2,1,,,,,,1,3
replication,0,0,0,r,,,7,-1,0,,0,,,,,,5,2,1,1,3
replication,0,0,0,p,9,0,,,,,,7,-1,0,,0,,,,1,3
replication,0,0,0,r,,,5,2,1,9,0,,,,,,7,-1,0,1,3
replication,0,0,0,r,,,9,0,,,,5,2,1,9,0,,,,1,3
replication,0,0,0,p,,0,,,,,,9,0,,,,5,2,1,1,3
replication,0,0,0,r,,,9,,,,0,,,,,,9,0,,1,3
replication,0,0,0,p,7,0,,,,,,9,,,,0,,,,1,3
replication,0,0,0,p,8,0,,,,7,0,,,,,,9,,,1,3
replication,0,0,0,r,,,5,2,1,8,0,,,,7,0,,,,1,3
replication,0,0,0,p,7,0,,,,,,5,2,1,8,0,,,,1,3
replication,0,0,0,r,,,8,-1,0,7,0,,,,,,5,2,1,1,3
replication,0,0,0,p,5,1,,,,,,8,-1,0,7,0,,,,1,3
replication,0,0,0,r,,,6,2,1,5,1,,,,,,8,-1,0,1,3
replication,0,0,0,p,8,0,,,,,,6,2,1,5,1,,,,1,3
replication,0,0,1,r,,,8,-2,0,,,,,,,,,,,1,3
replication,0,0,1,p,5,1,,,,,,8,-2,0,,,,,,1,3
replication,0,0,1,r,,,7,0,,5,1,,,,,,8,-2,0,1,3
replication,0,0,1,p,5,1,,,,,,7,0,,5,1,,,,1,3
replication,0,0,1,p,8,1,,,,5,1,,,,,,7,0,,1,3
replication,0,0,1,r,,,8,0,,8,1,,,,5,1,,,,1,3
replication,0,0,1,p,8,0,,,,,,8,0,,8,1,,,,1,3
replication,0,0,1,r,,,8,-2,0,8,0,,,,,,8,0,,1,3
replication,0,0,1,p,8,0,,,,,,8,-2,0,8,0,,,,1,3
replication,0,0,1,r,,,5,-1,0,8,0,,,,,,8,-2,0,1,3
replication,0,0,1,r,,,9,1,1,,,5,-1,0,8,0,,,,1,3
replication,0,0,1,p,6,1,,,,,,9,1,1,,,5,-1,0,1,3
replication,0,0,1,r,,,5,0,,6,1,,,,,,9,1,1,1,3
replication,0,0,1,p,7,0,,,,,,5,0,,6,1,,,,1,3
replication,0,0,1,r,,,5,1,1,7,0,,,,,,5,0,,1,3
replication,0,0,1,p,6,1,,,,,,5,1,1,7,0,,,,1,3
replication,0,0,2,r,,,5,0,,,,,,,,,,,,1,3
replication,0,0,2,p,7,1,,,,,,5,0,,,,,,,1,3
replication,0,0,2,r,,,6,0,,7,1,,,,,,5,0,,1,3
replication,0,0,2,p,7,1,,,,,,6,0,,7,1,,,,1,3
replication,0,0,2,r,,,5,0,,7,1,,,,,,6,0,,1,3
replication,0,0,2,p,7,0,,,,,,5,0,,7,1,,,,1,3
replication,0,0,2,p,7,0,,,,7,0,,,,,,5,0,,1,3
replication,0,0,2,r,,,5,-1,0,7,0,,,,7,0,,,,1,3
replication,0,0,2,p,8,0,,,,,,5,-1,0,7,0,,,,1,3
replication,0,0,2,r,,,6,-2,0,8,0,,,,,,5,-1,0,1,3
replication,0,0,2,r,,,9,1,1,,,6,-2,0,8,0,,,,1,3
replication,0,0,2,p,7,0,,,,,,9,1,1,,,6,-2,0,1,3
replication,0,0,2,r,,,8,1,1,7,0,,,,,,9,1,1,1,3
replication,0,0,2,p,9,1,,,,,,8,1,1,7,0,,,,1,3
replication,0,0,2,r,,,5,1,1,9,1,,,,,,8,1,1,1,3
replication,0,0,2,p,5,1,,,,,,5,1,1,9,1,,,,1,3
replication,0,0,3,r,,,6,,,,,,,,,,,,,1,3
replication,0,0,3,r,,,6,,,,,6,,,,,,,,1,3
replication,0,0,3,p,8,1,,,,,,6,,,,,6,,,1,3
replication,0,0,3,r,,,5,,,8,1,,,,,,6,,,1,3
replication,0,0,3,p,8,1,,,,,,5,,,8,1,,,,1,3
replication,0,0,3,r,,,6,,,8,1,,,,,,5,,,1,3
replication,0,0,3,p,,0,,,,,,6,,,8,1,,,,1,3
replication,0,0,3,p,7,1,,,,,0,,,,,,6,,,1,3
replication,0,0,3,r,,,7,,,7,1,,,,,0,,,,1,3
replication,0,0,3,p,7,1,,,,,,7,,,7,1,,,,1,3
replication,0,0,3,r,,,7,0,,7,1,,,,,,7,,,1,3
replication,0,0,3,p,6,1,,,,,,7,0,,7,1,,,,1,3
replication,0,0,3,r,,,8,,,6,1,,,,,,7,0,,1,3
replication,0,0,3,p,7,1,,,,,,8,,,6,1,,,,1,3
replication,0,0,3,r,,,5,-1,0,7,1,,,,,,8,,,1,3
replication,0,0,3,p,7,0,,,,,,5,-1,0,7,1,,,,1,3
replication,0,0,4,r,,,7,0,,,,,,,,,,,,1,3
replication,0,0,4,p,7,0,,,,,,7,0,,,,,,,1,3
replication,0,0,4,r,,,7,1,1,7,0,,,,,,7,0,,1,3
replication,0,0,4,p,7,0,,,,,,7,1,1,7,0,,,,1,3
replication,0,0,4,r,,,5,0,,7,0,,,,,,7,1,1,1,3
replication,0,0,4,r,,,7,0,,,,5,0,,7,0,,,,1,3
replication,0,0,4,p,7,1,,,,,,7,0,,,,5,0,,1,3
replication,0,0,4,r,,,7,,,7,1,,,,,,7,0,,1,3
replication,0,0,4,p,,0,,,,,,7,,,7,1,,,,1,3
replication,0,0,4,p,7,1,,,,,0,,,,,,7,,,1,3
replication,0,0,4,r,,,8,,,7,1,,,,,0,,,,1,3
replication,0,0,4,p,7,0,,,,,,8,,,7,1,,,,1,3
replication,0,0,4,r,,,6,0,,7,0,,,,,,8,,,1,3
replication,0,0,4,p,8,0,,,,,,6,0,,7,0,,,,1,3
replication,0,0,4,r,,,5,-2,0,8,0,,,,,,6,0,,1,3
replication,0,0,4,p,7,1,,,,,,5,-2,0,8,0,,,,1,3
replication,0,0,5,r,,,8,1,1,,,,,,,,,,,1,3
replication,0,0,5,p,7,1,,,,,,8,1,1,,,,,,1,3
replication,0,0,5,r,,,6,1,1,7,1,,,,,,8,1,1,1,3
replication,0,0,5,p,7,0,,,,,,6,1,1,7,1,,,,1,3
replication,0,0,5,r,,,9,0,,7,0,,,,,,6,1,1,1,3
replication,0,0,5,p,8,0,,,,,,9,0,,7,0,,,,1,3
replication,0,0,5,r,,,7,-1,0,8,0,,,,,,9,0,,1,3
replication,0,0,5,p,9,0,,,,,,7,-1,0,8,0,,,,1,3
replication,0,0,5,r,,,9,2,1,9,0,,,,,,7,-1,0,1,3
replication,0,0,5,p,8,0,,,,,,9,2,1,9,0,,,,1,3
replication,0,0,5,p,7,1,,,,8,0,,,,,,9,2,1,1,3
replication,0,0,5,r,,,6,,,7,1,,,,8,0,,,,1,3
replication,0,0,5,p,,0,,,,,,6,,,7,1,,,,1,3
replication,0,0,5,r,,,5,,,,0,,,,,,6,,,1,3
replication,0,0,5,r,,,5,,,,,5,,,,0,,,,1,3
replication,0,0,5,p,7,1,,,,,,5,,,,,5,,,1,3
replication,0,0,6,r,,,9,0,,,,,,,,,,,,1,3
replication,0,0,6,p,,0,,,,,,9,0,,,,,,,1,3
replication,0,0,6,r,,,5,,,,0,,,,,,9,0,,1,3
replication,0,0,6,p,,0,,,,,,5,,,,0,,,,1,3
replication,0,0,6,r,,,7,1,1,,0,,,,,,5,,,1,3
replication,0,0,6,p,6,1,,,,,,7,1,1,,0,,,,1,3
replication,0,0,6,r,,,9,-2,0,6,1,,,,,,7,1,1,1,3
replication,0,0,6,r,,,9,0,,,,9,-2,0,6,1,,,,1,3
replication,0,0,6,p,7,1,,,,,,9,0,,,,9,-2,0,1,3
replication,0,0,6,p,6,1,,,,7,1,,,,,,9,0,,1,3
replication,0,0,6,r,,,5,0,,6,1,,,,7,1,,,,1,3
replication,0,0,6,p,8,0,,,,,,5,0,,6,1,,,,1,3
replication,0,0,6,r,,,9,,,8,0,,,,,,5,0,,1,3
replication,0,0,6,p,,0,,,,,,9,,,8,0,,,,1,3
replication,0,0,6,r,,,9,2,1,,0,,,,,,9,,,1,3
replication,0,0,6,p,8,1,,,,,,9,2,1,,0,,,,1,3
replication,0,0,7,r,,,6,1,1,,,,,,,,,,,1,3
replication,0,0,7,p,7,0,,,,,,6,1,1,,,,,,1,3
replication,0,0,7,r,,,9,-2,0,7,0,,,,,,6,1,1,1,3
replication,0,0,7,p,,0,,,,,,9,-2,0,7,0,,,,1,3
replication,0,0,7,r,,,6,,,,0,,,,,,9,-2,0,1,3
replication,0,0,7,p,,0,,,,,,6,,,,0,,,,1,3
replication,0,0,7,r,,,7,,,,0,,,,,,6,,,1,3
replication,0,0,7,p,,0,,,,,,7,,,,0,,,,1,3
replication,0,0,7,r,,,5,,,,0,,,,,,7,,,1,3
replication,0,0,7,p,,0,,,,,,5,,,,0,,,,1,3
replication,0,0,7,p,,0,,,,,0,,,,,,5,,,1,3
replication,0,0,7,p,,0,,,,,0,,,,,0,,,,1,3
replication,0,0,7,r,,,7,,,,0,,,,,0,,,,1,3
replication,0,0,7,r,,,5,,,,,7,,,,0,,,,1,3
replication,0,0,7,p,,0,,,,,,5,,,,,7,,,1,3
replication,0,0,7,r,,,8,0,,,0,,,,,,5,,,1,3
replication,0,0,8,r,,,9,,,,,,,,,,,,,1,3
replication,0,0,8,p,,0,,,,,,9,,,,,,,,1,3
replication,0,0,8,r,,,9,,,,0,,,,,,9,,,1,3
replication,0,0,8,p,,0,,,,,,9,,,,0,,,,1,3
replication,0,0,8,r,,,7,,,,0,,,,,,9,,,1,3
replication,0,0,8,p,,0,,,,,,7,,,,0,,,,1,3
replication,0,0,8,r,,,7,0,,,0,,,,,,7,,,1,3
replication,0,0,8,p,,0,,,,,,7,0,,,0,,,,1,3
replication,0,0,8,r,,,9,,,,0,,,,,,7,0,,1,3
replication,0,0,8,p,,0,,,,,,9,,,,0,,,,1,3
replication,0,0,8,p,,0,,,,,0,,,,,,9,,,1,3
replication,0,0,8,p,,0,,,,,0,,,,,0,,,,1,3
replication,0,0,8,r,,,8,0,,,0,,,,,0,,,,1,3
replication,0,0,8,r,,,5,1,1,,,8,0,,,0,,,,1,3
replication,0,0,8,p,,0,,,,,,5,1,1,,,8,0,,1,3
replication,0,0,8,r,,,7,-2,0,,0,,,,,,5,1,1,1,3
replication,0,0,8,p,,,,,,,,7,-2,0,,0,,,,1,3
selfish,1,0,0,r,,,6,,,,,,,,,,,,,0,2
selfish,1,0,0,p,5,1,,,,,,6,,,,,,,,0,2
selfish,1,0,0,r,,,7,-1,0,5,1,,,,,,6,,,0,2
selfish,1,0,0,p,6,1,,,,,,7,-1,0,5,1,,,,0,2
selfish,1,0,0,r,,,9,-2,0,6,1,,,,,,7,-1,0,0,2
selfish,1,0,0,r,,,7,-1,0,,,9,-2,0,6,1,,,,0,2
selfish,1,0,0,p,6,1,,,,,,7,-1,0,,,9,-2,0,0,2
selfish,1,0,0,r,,,7,0,,6,1,,,,,,7,-1,0,0,2
selfish,1,0,0,p,6,1,,,,,,7,0,,6,1,,,,0,2
selfish,1,0,0,p,7,0,,,,6,1,,,,,,7,0,,0,2
selfish,1,0,0,r,,,6,1,1,7,0,,,,6,1,,,,0,2
selfish,1,0,0,p,6,1,,,,,,6,1,1,7,0,,,,0,2
selfish,1,0,0,r,,,6,1,1,6,1,,,,,,6,1,1,0,2
selfish,1,0,0,p,6,1,,,,,,6,1,1,6,1,,,,0,2
