condition,invest,payout,payout_r,payout_p,id,excluded,block_number,role,subjectTake,response_bool,proposerTake,subject_response,subject_response_bool,prev_subjectTake,prev_response_bool,prev_proposerTake,prev_subject_response,prev_subject_response_bool,prev_prev_subjectTake,prev_prev_response_bool,prev_prev_proposerTake,prev_prev_subject_response,prev_prev_subject_response_bool,deception,deception_scale
generous,,,,,0,0,0,p,,0,,,,,,,,,,,,,,0,1
generous,,,,,0,0,0,r,,,6,,,,0,,,,,,,,,0,1
generous,,,,,0,0,0,p,,0,,,,,,6,,,,0,,,,0,1
generous,,4,4,,0,0,0,r,,,6,1,1,,0,,,,,,6,,,0,1
generous,,6,,6,0,0,0,p,6,1,,,,,,6,1,1,,0,,,,0,1
generous,,6,,6,0,0,0,p,6,1,,,,6,1,,,,,,6,1,1,0,1
generous,,5,5,,0,0,0,r,,,5,2,1,6,1,,,,6,1,,,,0,1
generous,,6,,6,0,0,0,p,6,1,,,,,,5,2,1,6,1,,,,0,1
generous,,5,5,,0,0,0,r,,,5,2,1,6,1,,,,,,5,2,1,0,1
generous,,6,,6,0,0,0,p,6,1,,,,,,5,2,1,6,1,,,,0,1
generous,,5,5,,0,0,0,r,,,5,2,1,6,1,,,,,,5,2,1,0,1
generous,,7,,7,0,0,0,p,7,1,,,,,,5,2,1,6,1,,,,0,1
generous,,5,5,,0,0,0,r,,,5,2,1,7,1,,,,,,5,2,1,0,1
generous,,,,,0,0,0,p,,,,,,,,5,2,1,7,1,,,,0,1
control,,0,,0,0,0,1,p,9,0,,,,,,,,,,,,,,0,1
control,,5,5,,0,0,1,r,,,5,2,1,9,0,,,,,,,,,0,1
control,,0,,0,0,0,1,p,6,0,,,,,,5,2,1,9,0,,,,0,1
control,,4,4,,0,0,1,r,,,6,1,1,6,0,,,,,,5,2,1,0,1
control,,6,,6,0,0,1,p,6,1,,,,,,6,1,1,6,0,,,,0,1
control,,4,4,,0,0,1,r,,,6,1,1,6,1,,,,,,6,1,1,0,1
