condition,id,excluded,block_number,role,subjectTake,response_bool,proposerTake,subject_response,subject_response_bool,prev_subjectTake,prev_response_bool,prev_proposerTake,prev_subject_response,prev_subject_response_bool,prev_prev_subjectTake,prev_prev_response_bool,prev_prev_proposerTake,prev_prev_subject_response,prev_prev_subject_response_bool,deception,deception_scale,E_p,E_r,received
replication,0,0,0,r,,,5.0,2.0,1.0,,,,,,,,,,,1,3,,,5.0
replication,0,0,0,p,,0.0,,,,,,5.0,2.0,1.0,,,,,,1,3,,5.0,
replication,0,0,0,r,,,7.0,-1.0,0.0,,0.0,,,,,,5.0,2.0,1.0,1,3,,5.0,3.0
replication,0,0,0,p,9.0,0.0,,,,,,7.0,-1.0,0.0,,0.0,,,,1,3,,6.0,
replication,0,0,0,r,,,5.0,2.0,1.0,9.0,0.0,,,,,,7.0,-1.0,0.0,1,3,9.0,6.0,5.0
replication,0,0,0,r,,,9.0,0.0,,,,5.0,2.0,1.0,9.0,0.0,,,,1,3,9.0,5.666666666666667,1.0
replication,0,0,0,p,,0.0,,,,,,9.0,0.0,,,,5.0,2.0,1.0,1,3,9.0,6.5,
replication,0,0,0,r,,,9.0,,,,0.0,,,,,,9.0,0.0,,1,3,9.0,6.5,1.0
replication,0,0,0,p,7.0,0.0,,,,,,9.0,,,,0.0,,,,1,3,9.0,7.0,
replication,0,0,0,p,8.0,0.0,,,,7.0,0.0,,,,,,9.0,,,1,3,8.0,7.0,
replication,0,0,0,r,,,5.0,2.0,1.0,8.0,0.0,,,,7.0,0.0,,,,1,3,8.0,7.0,5.0
replication,0,0,0,p,7.0,0.0,,,,,,5.0,2.0,1.0,8.0,0.0,,,,1,3,8.0,6.666666666666667,
replication,0,0,0,r,,,8.0,-1.0,0.0,7.0,0.0,,,,,,5.0,2.0,1.0,1,3,7.75,6.666666666666667,2.0
replication,0,0,0,p,5.0,1.0,,,,,,8.0,-1.0,0.0,7.0,0.0,,,,1,3,7.75,6.857142857142857,
replication,0,0,0,r,,,6.0,2.0,1.0,5.0,1.0,,,,,,8.0,-1.0,0.0,1,3,7.2,6.857142857142857,4.0
replication,0,0,0,p,8.0,0.0,,,,,,6.0,2.0,1.0,5.0,1.0,,,,1,3,7.2,6.75,
replication,0,0,1,r,,,8.0,-2.0,0.0,,,,,,,,,,,1,3,,,2.0
replication,0,0,1,p,5.0,1.0,,,,,,8.0,-2.0,0.0,,,,,,1,3,,8.0,
replication,0,0,1,r,,,7.0,0.0,,5.0,1.0,,,,,,8.0,-2.0,0.0,1,3,5.0,8.0,3.0
replication,0,0,1,p,5.0,1.0,,,,,,7.0,0.0,,5.0,1.0,,,,1,3,5.0,7.5,
