condition,invest,payout,payout_r,payout_p,id,excluded,block_number,role,subjectTake,response_bool,proposerTake,subject_response,subject_response_bool,prev_subjectTake,prev_response_bool,prev_proposerTake,prev_subject_response,prev_subject_response_bool,prev_prev_subjectTake,prev_prev_response_bool,prev_prev_proposerTake,prev_prev_subject_response,prev_prev_subject_response_bool,deception,deception_scale,E_p,E_r,received
generous,,,,,0,0,0,p,,0.0,,,,,,,,,,,,,,0,1,,,
generous,,,,,0,0,0,r,,,6.0,,,,0.0,,,,,,,,,0,1,,,4.0
generous,,,,,0,0,0,p,,0.0,,,,,,6.0,,,,0.0,,,,0,1,,6.0,
generous,,4.0,4.0,,0,0,0,r,,,6.0,1.0,1.0,,0.0,,,,,,6.0,,,0,1,,6.0,4.0
generous,,6.0,,6.0,0,0,0,p,6.0,1.0,,,,,,6.0,1.0,1.0,,0.0,,,,0,1,,6.0,
generous,,6.0,,6.0,0,0,0,p,6.0,1.0,,,,6.0,1.0,,,,,,6.0,1.0,1.0,0,1,6.0,6.0,
generous,,5.0,5.0,,0,0,0,r,,,5.0,2.0,1.0,6.0,1.0,,,,6.0,1.0,,,,0,1,6.0,6.0,5.0
generous,,6.0,,6.0,0,0,0,p,6.0,1.0,,,,,,5.0,2.0,1.0,6.0,1.0,,,,0,1,6.0,5.666666666666667,
generous,,5.0,5.0,,0,0,0,r,,,5.0,2.0,1.0,6.0,1.0,,,,,,5.0,2.0,1.0,0,1,6.0,5.666666666666667,5.0
generous,,6.0,,6.0,0,0,0,p,6.0,1.0,,,,,,5.0,2.0,1.0,6.0,1.0,,,,0,1,6.0,5.5,
generous,,5.0,5.0,,0,0,0,r,,,5.0,2.0,1.0,6.0,1.0,,,,,,5.0,2.0,1.0,0,1,6.0,5.5,5.0
generous,,7.0,,7.0,0,0,0,p,7.0,1.0,,,,,,5.0,2.0,1.0,6.0,1.0,,,,0,1,6.0,5.4,
generous,,5.0,5.0,,0,0,0,r,,,5.0,2.0,1.0,7.0,1.0,,,,,,5.0,2.0,1.0,0,1,6.2,5.4,5.0
generous,,,,,0,0,0,p,,,,,,,,5.0,2.0,1.0,7.0,1.0,,,,0,1,6.2,5.333333333333333,
control,,0.0,,0.0,0,0,1,p,9.0,0.0,,,,,,,,,,,,,,0,1,,,
control,,5.0,5.0,,0,0,1,r,,,5.0,2.0,1.0,9.0,0.0,,,,,,,,,0,1,9.0,,5.0
control,,0.0,,0.0,0,0,1,p,6.0,0.0,,,,,,5.0,2.0,1.0,9.0,0.0,,,,0,1,9.0,5.0,
control,,4.0,4.0,,0,0,1,r,,,6.0,1.0,1.0,6.0,0.0,,,,,,5.0,2.0,1.0,0,1,7.5,5.0,4.0
control,,6.0,,6.0,0,0,1,p,6.0,1.0,,,,,,6.0,1.0,1.0,6.0,0.0,,,,0,1,7.5,5.5,
control,,4.0,4.0,,0,0,1,r,,,6.0,1.0,1.0,6.0,1.0,,,,,,6.0,1.0,1.0,0,1,7.0,5.5,4.0
control,,6.0,,6.0,0,0,1,p,6.0,1.0,,,,,,6.0,1.0,1.0,6.0,1.0,,,,0,1,7.0,5.666666666666667,
control,,4.0,4.0,,0,0,1,r,,,6.0,1.0,1.0,6.0,1.0,,,,,,6.0,1.0,1.0,0,1,6.75,5.666666666666667,4.0
