E_p,r_avg_prev,E_r_specific,E_r_sans_trial,E_r_sans_person,r,punish,target,groupid,sn,city,period,s_contrib,female,age,E_punished,E_punish,prev_punished
1.0,,,,16.5,0,0.0,0,701,701,Samara,1,1,1,22.0,,,
1.0,,,,9.0,15,0.0,1,701,701,Samara,1,1,1,22.0,,,
1.0,,,,7.5,18,0.0,2,701,701,Samara,1,1,1,22.0,,,
0.0,,,,16.5,1,0.0,0,701,702,Samara,1,0,1,21.0,,,
0.0,,,,9.5,15,0.0,1,701,702,Samara,1,0,1,21.0,,,
0.0,,,,8.0,18,0.0,2,701,702,Samara,1,0,1,21.0,,,
20.0,,,,13.5,20,0.0,0,704,703,Samara,1,20,1,21.0,,,
20.0,,,,13.5,20,0.0,1,704,703,Samara,1,20,1,21.0,,,
20.0,,,,20.0,7,1.0,2,704,703,Samara,1,20,1,21.0,,,
15.0,,,,5.0,5,0.0,0,702,704,Samara,1,15,1,26.0,,,
15.0,,,,2.5,10,0.0,1,702,704,Samara,1,15,1,26.0,,,
15.0,,,,7.5,0,2.0,2,702,704,Samara,1,15,1,26.0,,,
15.0,,,,9.0,1,3.0,0,701,705,Samara,1,15,1,21.0,,,
15.0,,,,9.5,0,3.0,1,701,705,Samara,1,15,1,21.0,,,
15.0,,,,0.5,18,0.0,2,701,705,Samara,1,15,1,21.0,,,
10.0,,,,10.0,14,2.0,0,703,706,Samara,1,10,1,21.0,,,
10.0,,,,12.0,10,0.0,1,703,706,Samara,1,10,1,21.0,,,
10.0,,,,12.0,10,1.0,2,703,706,Samara,1,10,1,21.0,,,
18.0,,,,7.5,1,2.0,0,701,707,Samara,1,18,1,21.0,,,
18.0,,,,8.0,0,2.0,1,701,707,Samara,1,18,1,21.0,,,
18.0,,,,0.5,15,0.0,2,701,707,Samara,1,18,1,21.0,,,
14.0,,,,10.0,10,1.0,0,703,708,Samara,1,14,1,21.0,,,
14.0,,,,10.0,10,1.0,1,703,708,Samara,1,14,1,21.0,,,
14.0,,,,10.0,10,1.0,2,703,708,Samara,1,14,1,21.0,,,
5.0,,,,5.0,15,0.0,0,702,709,Samara,1,5,1,21.0,,,
5.0,,,,7.5,10,0.0,1,702,709,Samara,1,5,1,21.0,,,
5.0,,,,12.5,0,0.0,2,702,709,Samara,1,5,1,21.0,,,
20.0,,,,13.5,20,0.0,0,704,710,Samara,1,20,0,23.0,,,
20.0,,,,13.5,20,0.0,1,704,710,Samara,1,20,0,23.0,,,
20.0,,,,20.0,7,0.0,2,704,710,Samara,1,20,0,23.0,,,
20.0,,,,13.5,20,0.0,0,704,711,Samara,1,20,0,18.0,,,
20.0,,,,13.5,20,0.0,1,704,711,Samara,1,20,0,18.0,,,
20.0,,,,20.0,7,0.0,2,704,711,Samara,1,20,0,18.0,,,
7.0,,,,20.0,20,0.0,0,704,712,Samara,1,7,1,21.0,,,
7.0,,,,20.0,20,0.0,1,704,712,Samara,1,7,1,21.0,,,
7.0,,,,20.0,20,0.0,2,704,712,Samara,1,7,1,21.0,,,
10.0,,,,12.0,10,0.0,0,703,713,Samara,1,10,1,21.0,,,
10.0,,,,10.0,14,1.0,1,703,713,Samara,1,10,1,21.0,,,
10.0,,,,12.0,10,0.0,2,703,713,Samara,1,10,1,21.0,,,
10.0,,,,12.0,10,0.0,0,703,714,Samara,1,10,0,18.0,,,
10.0,,,,10.0,14,0.0,1,703,714,Samara,1,10,0,18.0,,,
10.0,,,,12.0,10,0.0,2,703,714,Samara,1,10,0,18.0,,,
10.0,,,,2.5,15,1.0,0,702,715,Samara,1,10,1,21.0,,,
10.0,,,,7.5,5,1.0,1,702,715,Samara,1,10,1,21.0,,,
10.0,,,,10.0,0,1.0,2,702,715,Samara,1,10,1,21.0,,,
0.0,,,,7.5,15,10.0,0,702,716,Samara,1,0,1,21.0,,,
0.0,,,,12.5,5,10.0,1,702,716,Samara,1,0,1,21.0,,,
0.0,,,,10.0,10,10.0,2,702,716,Samara,1,0,1,21.0,,,
0.5,11.0,0.0,13.2,16.5,5,0.0,0,701,701,Samara,2,0,1,22.0,5.0,0.0,5.0
0.5,11.0,15.0,11.2,10.25,15,1.0,1,701,701,Samara,2,0,1,22.0,5.0,0.0,5.0
0.5,11.0,18.0,10.6,8.75,18,2.0,2,701,701,Samara,2,0,1,22.0,5.0,0.0,5.0
2.5,11.333333333333334,1.0,13.4,16.5,0,1.0,0,701,702,Samara,2,5,1,21.0,5.0,0.0,5.0
2.5,11.333333333333334,15.0,10.4,9.25,15,1.0,1,701,702,Samara,2,5,1,21.0,5.0,0.0,5.0
2.5,11.333333333333334,18.0,9.8,7.75,18,1.0,2,701,702,Samara,2,5,1,21.0,5.0,0.0,5.0
20.0,15.666666666666666,20.0,17.4,16.75,20,0.0,0,704,703,Samara,2,20,1,21.0,0.0,0.3333333333333333,0.0
20.0,15.666666666666666,20.0,17.4,16.75,20,0.0,1,704,703,Samara,2,20,1,21.0,0.0,0.3333333333333333,0.0
20.0,15.666666666666666,7.0,17.4,20.0,20,0.0,2,704,703,Samara,2,20,1,21.0,0.0,0.3333333333333333,0.0
12.5,5.0,5.0,3.0,2.5,3,0.0,0,702,704,Samara,2,10,1,26.0,11.0,0.6666666666666666,11.0
12.5,5.0,10.0,3.6,2.0,0,1.0,1,702,704,Samara,2,10,1,26.0,11.0,0.6666666666666666,11.0
12.5,5.0,0.0,3.6,4.5,0,1.0,2,702,704,Samara,2,10,1,26.0,11.0,0.6666666666666666,11.0
15.0,6.333333333333333,1.0,8.4,10.25,0,4.0,0,701,705,Samara,2,15,1,21.0,0.0,2.0,0.0
15.0,6.333333333333333,0.0,7.4,9.25,5,2.0,1,701,705,Samara,2,15,1,21.0,0.0,2.0,0.0
15.0,6.333333333333333,18.0,4.8,1.5,18,0.0,2,701,705,Samara,2,15,1,21.0,0.0,2.0,0.0
11.5,11.333333333333334,14.0,11.4,10.75,5,4.0,0,703,706,Samara,2,13,1,21.0,1.0,1.0,1.0
11.5,11.333333333333334,10.0,10.4,10.5,10,2.0,1,703,706,Samara,2,13,1,21.0,1.0,1.0,1.0
11.5,11.333333333333334,10.0,9.8,9.75,13,0.0,2,703,706,Samara,2,13,1,21.0,1.0,1.0,1.0
18.0,5.333333333333333,1.0,7.2,8.75,0,5.0,0,701,707,Samara,2,18,1,21.0,0.0,1.3333333333333333,0.0
18.0,5.333333333333333,0.0,6.2,7.75,5,1.0,1,701,707,Samara,2,18,1,21.0,0.0,1.3333333333333333,0.0
18.0,5.333333333333333,15.0,4.2,1.5,15,0.0,2,701,707,Samara,2,18,1,21.0,0.0,1.3333333333333333,0.0
9.5,10.0,10.0,10.6,10.75,13,0.0,0,703,708,Samara,2,5,1,21.0,3.0,1.0,3.0
9.5,10.0,10.0,11.2,11.5,10,0.0,1,703,708,Samara,2,5,1,21.0,3.0,1.0,3.0
9.5,10.0,10.0,10.6,10.75,13,0.0,2,703,708,Samara,2,5,1,21.0,3.0,1.0,3.0
4.0,8.333333333333334,15.0,5.0,2.5,10,0.0,0,702,709,Samara,2,3,1,21.0,11.0,0.0,11.0
4.0,8.333333333333334,10.0,7.0,6.25,0,1.0,1,702,709,Samara,2,3,1,21.0,11.0,0.0,11.0
4.0,8.333333333333334,0.0,7.0,8.75,0,3.0,2,702,709,Samara,2,3,1,21.0,11.0,0.0,11.0
20.0,15.666666666666666,20.0,17.4,16.75,20,0.0,0,704,710,Samara,2,20,0,23.0,0.0,0.0,0.0
20.0,15.666666666666666,20.0,17.4,16.75,20,0.0,1,704,710,Samara,2,20,0,23.0,0.0,0.0,0.0
20.0,15.666666666666666,7.0,17.4,20.0,20,0.0,2,704,710,Samara,2,20,0,23.0,0.0,0.0,0.0
20.0,15.666666666666666,20.0,17.4,16.75,20,0.0,0,704,711,Samara,2,20,0,18.0,0.0,0.0,0.0
20.0,15.666666666666666,20.0,17.4,16.75,20,0.0,1,704,711,Samara,2,20,0,18.0,0.0,0.0,0.0
20.0,15.666666666666666,7.0,17.4,20.0,20,0.0,2,704,711,Samara,2,20,0,18.0,0.0,0.0,0.0
13.5,20.0,20.0,20.0,20.0,20,0.0,0,704,712,Samara,2,20,1,21.0,1.0,0.0,1.0
13.5,20.0,20.0,20.0,20.0,20,0.0,1,704,712,Samara,2,20,1,21.0,1.0,0.0,1.0
13.5,20.0,20.0,20.0,20.0,20,0.0,2,704,712,Samara,2,20,1,21.0,1.0,0.0,1.0
10.0,11.333333333333334,10.0,10.4,10.5,13,0.0,0,703,713,Samara,2,10,1,21.0,1.0,0.3333333333333333,1.0
10.0,11.333333333333334,14.0,12.0,11.5,5,2.0,1,703,713,Samara,2,10,1,21.0,1.0,0.3333333333333333,1.0
10.0,11.333333333333334,10.0,10.4,10.5,13,0.0,2,703,713,Samara,2,10,1,21.0,1.0,0.3333333333333333,1.0
